,From,To,p-value,Company
0,2022-03-07 00:00:00,2022-10-24 00:00:00,0.7414466763153167,A
1,2021-04-23 00:00:00,2021-12-14 00:00:00,0.39004752934071296,AAPL
2,2024-05-01 00:00:00,2024-10-15 00:00:00,0.41887217107787167,ABBV
3,2021-09-16 00:00:00,2022-09-28 00:00:00,0.5523679829251058,ABT
4,2021-02-05 00:00:00,2022-06-30 00:00:00,0.09047640792472973,ACGL
5,2021-05-11 00:00:00,2021-10-26 00:00:00,0.06922374109863609,ACN
6,2023-07-11 00:00:00,2023-11-28 00:00:00,0.227423258960213,ADBE
7,2020-08-31 00:00:00,2021-08-23 00:00:00,0.40642113472375496,ADI
9,2021-05-17 00:00:00,2021-10-20 00:00:00,0.051220624617307677,ADP
11,2023-01-03 00:00:00,2023-08-09 00:00:00,0.4246126567975008,AEE
12,2020-08-13 00:00:00,2022-03-21 00:00:00,0.5916434008057854,AEP
14,2021-10-15 00:00:00,2022-12-09 00:00:00,0.8006130027160658,AFL
15,2021-07-20 00:00:00,2022-11-30 00:00:00,0.12323568345546863,AIG
16,2021-02-19 00:00:00,2022-01-27 00:00:00,0.8947105683099872,AIZ
18,2022-09-06 00:00:00,2023-01-18 00:00:00,0.06169971789946317,AKAM
19,2022-09-16 00:00:00,2023-04-11 00:00:00,0.054656939771435216,ALB
21,2020-11-13 00:00:00,2021-08-04 00:00:00,0.5224680378503814,ALL
22,2024-05-29 00:00:00,2024-11-01 00:00:00,0.3771323414822239,ALLE
23,2021-07-06 00:00:00,2023-08-04 00:00:00,0.15560186235909593,AMAT
24,2023-06-05 00:00:00,2023-11-14 00:00:00,0.8786155822692634,AMCR
25,2021-01-14 00:00:00,2022-07-14 00:00:00,0.21221751152686988,AMD
26,2021-01-11 00:00:00,2023-02-15 00:00:00,0.06367011588007797,AME
27,2023-01-25 00:00:00,2023-07-19 00:00:00,0.8258635181955837,AMGN
28,2021-11-17 00:00:00,2023-01-17 00:00:00,0.2252374308185469,AMP
30,2024-09-06 00:00:00,2025-03-26 00:00:00,0.32793301510754247,AMZN
34,2020-08-31 00:00:00,2022-04-05 00:00:00,0.06081418203534501,APA
36,2020-09-29 00:00:00,2021-07-23 00:00:00,0.08611135040231545,APH
38,2020-12-04 00:00:00,2022-02-23 00:00:00,0.791784367322821,APTV
40,2024-04-19 00:00:00,2024-11-13 00:00:00,0.1298887131363973,ATO
41,2024-05-16 00:00:00,2024-09-19 00:00:00,0.17175211543200658,AVB
42,2022-04-22 00:00:00,2023-03-27 00:00:00,0.07901593954938065,AVGO
43,2021-09-08 00:00:00,2022-07-13 00:00:00,0.1370483417601747,AVY
44,2020-09-30 00:00:00,2021-02-12 00:00:00,0.7667065765903344,AWK
46,2021-03-19 00:00:00,2021-11-15 00:00:00,0.11620729652527531,AXP
47,2024-09-25 00:00:00,2025-04-02 00:00:00,0.20265165388785034,AZO
49,2021-01-11 00:00:00,2022-06-13 00:00:00,0.169051442850207,BAC
53,2022-05-25 00:00:00,2023-01-03 00:00:00,0.16684567290387495,BDX
54,2022-11-25 00:00:00,2023-09-01 00:00:00,0.9202538850429303,BEN
55,2021-04-05 00:00:00,2022-01-12 00:00:00,0.22850915027128205,BG
57,2023-10-26 00:00:00,2024-05-30 00:00:00,0.061778106860250634,BK
59,2021-11-26 00:00:00,2023-04-18 00:00:00,0.5386023805897323,BKR
60,2021-02-10 00:00:00,2022-05-25 00:00:00,0.1276207072307611,BLDR
61,2023-05-23 00:00:00,2023-10-04 00:00:00,0.7997240465387975,BLK
65,2021-03-17 00:00:00,2021-11-15 00:00:00,0.08759514748170175,BSX
66,2024-04-29 00:00:00,2025-04-01 00:00:00,0.12088304849530077,BX
67,2021-04-05 00:00:00,2022-04-25 00:00:00,0.06841333070255287,BXP
68,2021-03-11 00:00:00,2022-04-28 00:00:00,0.6781556002860634,C
70,2022-10-28 00:00:00,2023-08-11 00:00:00,0.14995940039671266,CAH
71,2020-07-06 00:00:00,2022-04-29 00:00:00,0.059289695842766256,CARR
72,2021-09-13 00:00:00,2022-02-08 00:00:00,0.11400410651900438,CAT
74,2021-05-10 00:00:00,2023-01-10 00:00:00,0.1559961958404037,CBOE
76,2021-07-01 00:00:00,2022-01-05 00:00:00,0.06331440729886004,CCI
77,2020-11-20 00:00:00,2022-04-14 00:00:00,0.11767251642942102,CCL
78,2021-05-07 00:00:00,2023-02-10 00:00:00,0.052600536801016756,CDNS
79,2022-02-04 00:00:00,2023-03-29 00:00:00,0.06635911090857538,CDW
80,2020-08-31 00:00:00,2022-05-23 00:00:00,0.060891724251054546,CF
81,2020-12-31 00:00:00,2022-12-21 00:00:00,0.24498842276873076,CFG
87,2024-02-08 00:00:00,2024-09-23 00:00:00,0.07471309355324052,CL
89,2022-08-23 00:00:00,2023-04-03 00:00:00,0.46260184228889223,CMCSA
90,2021-12-31 00:00:00,2022-10-27 00:00:00,0.09549533046197146,CME
92,2023-10-24 00:00:00,2024-06-12 00:00:00,0.07936954686466914,CMI
96,2021-12-30 00:00:00,2022-08-08 00:00:00,0.11675936411088639,COF
97,2023-10-16 00:00:00,2024-02-21 00:00:00,0.16072117435753885,COO
98,2021-09-17 00:00:00,2022-03-30 00:00:00,0.5474531845043634,COP
99,2022-08-02 00:00:00,2023-05-01 00:00:00,0.06697148747924628,COR
104,2021-01-15 00:00:00,2022-09-30 00:00:00,0.08511989475517555,CPT
105,2022-06-29 00:00:00,2022-12-12 00:00:00,0.11007521751760269,CRL
107,2021-03-16 00:00:00,2021-11-08 00:00:00,0.27424996260211965,CRWD
110,2021-07-30 00:00:00,2022-03-03 00:00:00,0.8324285668947706,CSX
112,2024-03-27 00:00:00,2025-03-11 00:00:00,0.05121924839942227,CTRA
117,2021-03-03 00:00:00,2022-03-29 00:00:00,0.07569588565561866,CZR
119,2022-10-19 00:00:00,2023-12-21 00:00:00,0.100063492049599,DAL
121,2020-07-31 00:00:00,2021-03-01 00:00:00,0.13763874720545263,DD
122,2020-09-23 00:00:00,2021-03-18 00:00:00,0.3382781122344995,DDOG
123,2021-03-15 00:00:00,2022-03-14 00:00:00,0.08300214202599991,DE
124,2020-07-24 00:00:00,2021-05-03 00:00:00,0.0698046261518107,DECK
127,2023-10-31 00:00:00,2024-03-07 00:00:00,0.6023367810175344,DGX
128,2021-08-25 00:00:00,2022-09-26 00:00:00,0.1144869391313128,DHI
129,2020-11-20 00:00:00,2021-05-10 00:00:00,0.44524645021992204,DHR
130,2022-02-23 00:00:00,2022-07-15 00:00:00,0.8618416746661057,DIS
134,2022-07-22 00:00:00,2023-07-21 00:00:00,0.1147670635163443,DOV
135,2020-08-07 00:00:00,2021-04-20 00:00:00,0.1392913954263408,DOW
138,2020-12-09 00:00:00,2021-06-08 00:00:00,0.4205367837480608,DTE
139,2020-12-03 00:00:00,2022-01-31 00:00:00,0.1890418988598017,DUK
143,2022-05-24 00:00:00,2023-01-18 00:00:00,0.5523763222386784,EA
146,2021-03-01 00:00:00,2022-01-21 00:00:00,0.2814421121810182,ED
147,2021-05-07 00:00:00,2021-09-15 00:00:00,0.9155167482398733,EFX
149,2022-11-11 00:00:00,2023-04-20 00:00:00,0.39185528128238306,EIX
152,2023-08-22 00:00:00,2024-10-31 00:00:00,0.13779030381121954,EMN
153,2021-01-25 00:00:00,2021-09-10 00:00:00,0.14404049097746904,EMR
155,2021-03-18 00:00:00,2021-08-09 00:00:00,0.37143897487048094,EOG
